,X,RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified,contacted,won,loanvalue,NPS,contacted_and_won,qualified_and_contacted,lead_and_qualified
17,17,10023483,41-60,45,admin.,single,unknown,13,yes,no,may,5/1/2018,98,7.51,0,no product,0,0,0,2434,7,0,0,1
18,18,10023484,41-60,57,blue-collar,married,primary,52,yes,yes,june,6/1/2018,38,16.12,0,no product,0,0,0,4246,7,0,0,1
19,19,10023485,41-60,60,retired,married,primary,60,yes,yes,july,7/1/2018,219,57.32,0,no product,0,0,0,3047,7,0,0,1
20,20,10023486,31-40,33,services,married,secondary,0,yes,no,august,8/1/2018,54,58.46,0,no product,0,0,0,2303,7,0,0,1
21,21,10023487,18-30,28,blue-collar,married,secondary,723,yes,no,september,9/1/2018,262,216.64,0,no product,0,0,0,3659,7,0,0,1
22,22,10023488,41-60,56,management,married,tertiary,779,yes,yes,october,10/1/2018,164,38.64,0,no product,0,0,0,2100,7,0,0,1
23,23,10023489,31-40,32,blue-collar,single,primary,23,yes,no,november,11/1/2018,160,9.79,1,mortgage,1,1,0,7624,7,0,1,1
24,24,10023490,18-30,25,services,married,secondary,50,yes,no,december,12/1/2018,342,58.46,1,mortgage,1,1,0,8694,7,0,1,1
25,25,10023491,31-40,40,retired,married,primary,0,yes,no,january,1/1/2018,181,57.32,0,no product,0,0,0,6530,7,0,0,1
26,26,10023492,41-60,44,admin.,married,secondary,-372,yes,yes,february,2/1/2018,172,49.14,0,no product,0,0,0,6530,7,0,0,1
27,27,10023493,31-40,39,management,single,tertiary,255,yes,no,march,3/1/2018,296,49,0,no product,0,0,0,6530,7,0,0,1
28,28,10023494,41-60,52,entrepreneur,married,secondary,113,yes,yes,april,4/1/2018,127,43.75,0,no product,0,0,0,6530,7,0,0,1
29,29,10023495,41-60,46,management,single,secondary,-246,yes,no,may,5/1/2018,255,59.545,0,no product,0,0,0,6530,7,0,0,1
30,30,10023496,31-40,36,technician,single,secondary,265,yes,no,june,6/1/2018,348,136.12,1,mortgage,1,-1,0,4357,7,0,-1,1
31,31,10023497,41-60,57,technician,married,secondary,839,no,yes,july,7/1/2018,225,162.57,1,mortgage,1,-1,0,6895,7,0,-1,1
32,32,10023498,41-60,49,management,married,tertiary,378,yes,yes,august,8/1/2018,230,35.05,1,mortgage,1,-1,0,7632,7,0,-1,1
33,33,10023499,41-60,60,admin.,married,secondary,39,yes,yes,september,9/1/2018,208,49.14,1,mortgage,1,-1,0,9753,7,0,-1,1
34,34,10023500,41-60,59,blue-collar,married,secondary,0,yes,yes,october,10/1/2018,226,52.68,1,mortgage,1,-1,0,2257,7,0,-1,1
35,35,10023501,41-60,51,management,married,tertiary,10635,yes,yes,november,11/1/2018,336,236.29,1,mortgage,1,1,0,12353,7,0,1,1
36,36,10023502,41-60,57,technician,divorced,secondary,63,yes,no,december,12/1/2018,242,52.94,1,mortgage,1,1,0,2356,7,0,1,1
37,37,10023503,18-30,25,blue-collar,married,secondary,-7,yes,no,january,1/1/2018,365,52.68,1,mortgage,1,1,0,7654,7,0,1,1
38,38,10023504,41-60,53,technician,married,secondary,-3,no,yes,february,2/1/2018,1666,52.94,1,mortgage,1,1,0,7854,7,0,1,1
39,39,10023505,31-40,36,admin.,divorced,secondary,506,yes,no,march,3/1/2018,577,49.14,1,unsecured ,1,1,0,2458,7,0,1,1
40,40,10023506,31-40,37,admin.,single,secondary,0,yes,no,april,4/1/2018,137,49.14,1,unsecured ,1,1,0,2893,7,0,1,1
41,41,10023507,41-60,44,services,divorced,secondary,2586,yes,no,may,5/1/2018,160,102.76,1,unsecured ,1,1,0,2476,7,0,1,1
42,42,10023508,41-60,50,management,married,secondary,49,yes,yes,june,6/1/2018,180,20.61,1,unsecured ,1,1,0,4384,7,0,1,1
43,43,10023509,41-60,60,blue-collar,married,unknown,104,yes,yes,july,7/1/2018,22,67.71,1,unsecured ,1,1,0,4080,7,0,1,1
44,44,10023510,41-60,54,retired,married,secondary,529,yes,yes,august,8/1/2018,1492,65.05,1,unsecured ,0,1,0,2127,7,0,0,0
45,45,10023511,41-60,58,retired,married,unknown,96,yes,yes,september,9/1/2018,616,57.32,1,unsecured ,0,1,0,2586,7,0,0,0
46,46,10023512,31-40,36,admin.,single,primary,-171,yes,no,october,10/1/2018,242,49.14,1,unsecured ,0,1,0,6530,7,0,0,0
47,47,10023513,41-60,58,self-employed,married,tertiary,-364,yes,yes,november,11/1/2018,355,23.035,1,unsecured ,0,1,0,2476,7,0,0,0
48,48,10023514,41-60,44,technician,married,secondary,0,yes,yes,december,12/1/2018,225,52.94,1,unsecured ,0,1,0,4384,7,0,0,0
49,49,10023515,41-60,55,technician,divorced,secondary,0,no,no,january,1/1/2018,160,52.94,1,unsecured ,0,1,0,4080,7,0,0,0
50,50,10023516,18-30,29,management,single,tertiary,0,yes,no,february,2/1/2018,363,59.545,1,unsecured ,0,1,0,2127,7,0,0,0
51,51,10023517,41-60,54,blue-collar,married,secondary,1291,yes,yes,march,3/1/2018,266,52.68,1,unsecured ,0,1,0,5699,7,0,0,0
52,52,10023518,41-60,48,management,divorced,tertiary,-244,yes,yes,april,4/1/2018,253,59.545,1,auto ,1,1,0,3237,7,0,1,1
53,53,10023519,31-40,32,management,married,tertiary,0,yes,yes,may,5/1/2018,179,59.545,1,auto ,1,1,0,2558,7,0,1,1
54,54,10023520,41-60,42,admin.,single,secondary,-76,yes,no,june,6/1/2018,787,49.14,1,auto ,1,1,0,2298,7,0,1,1
55,55,10023521,18-30,24,technician,single,secondary,-103,yes,no,july,7/1/2018,145,52.94,1,auto ,1,1,0,3397,7,0,1,1
56,56,10023522,31-40,38,entrepreneur,single,tertiary,243,no,no,august,8/1/2018,174,92.66,1,auto ,1,1,0,2106,7,0,1,1
57,57,10023523,31-40,38,management,single,tertiary,424,yes,no,september,9/1/2018,104,103.98,1,auto ,1,1,0,2586,7,0,1,1
58,58,10023524,41-60,47,blue-collar,married,unknown,306,yes,yes,october,10/1/2018,13,24.74,1,auto ,0,-1,0,6530,7,0,0,0
59,59,10023525,31-40,40,blue-collar,single,unknown,24,yes,no,november,11/1/2018,185,18.92,1,auto ,1,-1,0,2476,7,0,-1,1
60,60,10023526,41-60,46,services,married,primary,179,yes,yes,december,12/1/2018,1778,58.46,1,auto ,1,-1,0,4384,7,0,-1,1
61,61,10023527,31-40,32,admin.,married,tertiary,0,yes,yes,january,1/1/2018,138,49.14,1,auto ,0,-1,0,4080,7,0,0,0
62,62,10023528,41-60,53,technician,divorced,secondary,989,yes,no,february,2/1/2018,812,143.25,1,auto ,1,-1,0,2127,7,0,-1,1
63,63,10023529,41-60,57,blue-collar,married,primary,249,yes,yes,march,3/1/2018,164,128.03,1,auto ,1,-1,0,5699,7,0,-1,1
64,64,10023530,31-40,33,services,married,secondary,790,yes,no,april,4/1/2018,391,100.69,1,auto ,1,-1,0,3237,7,0,-1,1
65,65,10023531,41-60,49,blue-collar,married,unknown,154,yes,yes,may,5/1/2018,357,289.49,1,auto ,1,-1,0,2558,7,0,-1,1
66,66,10023532,41-60,51,management,married,tertiary,6530,yes,yes,june,6/1/2018,91,233.27,1,auto ,0,-1,0,2298,7,0,0,0
67,67,10023533,41-60,60,retired,married,tertiary,100,no,yes,july,7/1/2018,528,22.17,0,no product,0,0,0,3397,7,0,0,1
68,68,10023534,41-60,59,management,divorced,tertiary,59,yes,yes,august,8/1/2018,273,76.97,1,auto ,1,-1,0,2106,7,0,-1,1
69,69,10023535,41-60,55,technician,married,secondary,1205,yes,yes,september,9/1/2018,158,388.683437366575,1,auto ,1,-1,0,4080,7,0,-1,1
70,70,10023536,31-40,35,blue-collar,single,secondary,12223,yes,no,october,10/1/2018,177,388.683437366575,0,no product,0,0,0,2127,7,0,0,1
71,71,10023537,41-60,57,blue-collar,married,secondary,5935,yes,yes,november,11/1/2018,258,111.2,1,mortgage,1,-1,0,5699,7,0,-1,1
72,72,10023538,31-40,31,services,married,secondary,25,yes,no,december,12/1/2018,172,24.24,1,mortgage,1,-1,0,3237,7,0,-1,1
73,73,10023539,41-60,54,management,married,secondary,282,yes,yes,january,1/1/2018,154,23.25,1,mortgage,1,-1,0,2558,7,0,-1,1
74,74,10023540,41-60,55,blue-collar,married,primary,23,yes,yes,february,2/1/2018,291,60.93,1,mortgage,1,-1,0,2298,7,0,-1,1
75,75,10023541,41-60,43,technician,married,secondary,1937,yes,yes,march,3/1/2018,181,248.97,0,no product,0,0,0,3397,7,0,0,1
76,76,10023542,41-60,53,technician,married,secondary,384,yes,yes,april,4/1/2018,176,136.47,0,no product,0,0,0,2106,7,0,0,1
77,77,10023543,41-60,44,blue-collar,married,secondary,582,no,yes,may,5/1/2018,211,66.43,1,mortgage,1,-1,0,8954,7,0,-1,1
78,78,10023544,41-60,55,services,divorced,secondary,91,no,no,june,6/1/2018,349,58.46,1,mortgage,1,-1,0,3678,7,0,-1,1
79,79,10023545,41-60,49,services,divorced,secondary,0,yes,no,july,7/1/2018,272,58.46,1,mortgage,0,-1,0,4853,7,0,0,0
80,80,10023546,41-60,55,services,divorced,secondary,1,yes,no,august,8/1/2018,208,4.14,1,mortgage,0,-1,0,8675,7,0,0,0
81,81,10023547,41-60,45,admin.,single,secondary,206,yes,no,september,9/1/2018,193,53.06,1,mortgage,0,-1,0,9764,7,0,0,0
82,82,10023548,41-60,47,services,divorced,secondary,164,no,no,october,10/1/2018,212,97.11,1,mortgage,0,-1,0,2457,7,0,0,0
83,83,10023549,41-60,42,technician,single,secondary,690,yes,no,november,11/1/2018,20,367.05,1,mortgage,0,-1,0,3678,7,0,0,0
84,84,10023550,41-60,59,admin.,married,secondary,2343,yes,yes,december,12/1/2018,1042,163.55,1,mortgage,1,-1,0,9765,7,0,-1,1
85,85,10023551,41-60,46,self-employed,married,tertiary,137,yes,yes,january,1/1/2018,246,44.44,1,unsecured ,1,-1,0,4080,7,0,-1,1
86,86,10023552,41-60,51,blue-collar,married,primary,173,yes,yes,february,2/1/2018,529,25.47,1,unsecured ,1,-1,0,2127,7,0,-1,1
87,87,10023553,41-60,56,admin.,married,secondary,45,no,yes,march,3/1/2018,1467,69.01,1,unsecured ,1,1,0,5699,7,0,1,1
88,88,10023554,41-60,41,technician,married,secondary,1270,yes,yes,april,4/1/2018,1389,41.15,0,no product,0,0,0,3237,7,0,0,1
89,89,10023555,41-60,46,management,divorced,secondary,16,yes,no,may,5/1/2018,188,25.46,0,no product,0,0,0,2558,7,0,0,1
90,90,10023556,41-60,57,retired,married,secondary,486,yes,yes,june,6/1/2018,180,45,0,no product,0,0,0,6530,7,0,0,1
91,91,10023557,41-60,42,management,single,secondary,50,no,no,july,7/1/2018,48,25.17,0,no product,0,0,0,6530,7,0,0,1
92,92,10023558,18-30,30,technician,married,secondary,152,yes,no,august,8/1/2018,213,60.61,0,no product,0,0,0,6530,7,0,0,1
93,93,10023559,41-60,60,admin.,married,secondary,290,yes,yes,september,9/1/2018,583,36.12,0,no product,0,0,0,6530,7,0,0,1
94,94,10023560,41-60,60,blue-collar,married,unknown,54,yes,yes,october,10/1/2018,221,52.68,0,no product,0,0,0,6530,7,0,0,1
95,95,10023561,41-60,57,entrepreneur,divorced,secondary,-37,no,no,november,11/1/2018,173,43.75,0,no product,0,0,0,6530,7,0,0,1
96,96,10023562,31-40,36,management,married,tertiary,101,yes,yes,december,12/1/2018,426,56.78,0,no product,0,0,0,6530,7,0,0,1
97,97,10023563,41-60,55,blue-collar,married,secondary,383,no,yes,january,1/1/2018,287,50.85,0,no product,0,0,0,6530,7,0,0,1
98,98,10023564,41-60,60,retired,married,tertiary,81,yes,yes,february,2/1/2018,101,57.32,1,mortgage,1,1,0,7543,7,0,1,1
99,99,10023565,31-40,39,technician,married,secondary,0,yes,no,march,3/1/2018,203,52.94,1,mortgage,0,1,0,6689,7,0,0,0
100,100,10023566,41-60,46,management,married,tertiary,229,yes,yes,april,4/1/2018,197,59.545,1,mortgage,1,1,0,4376,7,0,1,1
101,101,10023567,41-60,44,blue-collar,married,secondary,-674,yes,yes,may,5/1/2018,257,52.68,1,mortgage,0,1,0,6895,7,0,0,0
102,102,10023568,41-60,53,blue-collar,married,primary,90,no,yes,june,6/1/2018,124,30.98,1,mortgage,1,1,0,7632,7,0,1,1
103,103,10023569,41-60,52,blue-collar,married,primary,128,yes,yes,july,7/1/2018,229,43.7,1,mortgage,1,1,0,9753,7,0,1,1
104,104,10023570,41-60,59,blue-collar,married,primary,179,yes,yes,august,8/1/2018,55,52.68,1,mortgage,1,1,0,2257,7,0,1,1
105,105,10023571,18-30,27,technician,single,tertiary,0,yes,no,september,9/1/2018,400,52.94,0,no product,0,0,0,12353,7,0,0,1
106,106,10023572,41-60,44,blue-collar,married,secondary,54,yes,yes,october,10/1/2018,197,26.07,1,auto ,1,1,0,2356,7,0,1,1
107,107,10023573,41-60,47,technician,married,tertiary,151,yes,yes,november,11/1/2018,190,27.71,0,no product,0,0,0,7654,7,0,0,1
108,108,10023574,31-40,34,admin.,married,secondary,61,no,no,december,12/1/2018,21,12.35,1,auto ,1,1,0,7854,7,0,1,1
109,109,10023575,41-60,59,retired,single,secondary,30,yes,no,january,1/1/2018,514,36.16,0,no product,0,0,0,8954,7,0,0,1
110,110,10023576,41-60,45,management,married,tertiary,523,yes,yes,february,2/1/2018,849,36.76,1,auto ,1,-1,0,3678,7,0,-1,1
111,111,10023577,18-30,29,services,divorced,secondary,31,yes,no,march,3/1/2018,194,14.29,0,no product,0,0,0,4853,7,0,0,1
112,112,10023578,41-60,46,technician,divorced,secondary,79,no,no,april,4/1/2018,144,52.94,1,auto ,1,-1,0,8675,7,0,-1,1
113,113,10023579,41-60,56,self-employed,married,primary,-34,yes,yes,may,5/1/2018,212,23.035,0,no product,0,0,0,9764,7,0,0,1
114,114,10023580,31-40,36,blue-collar,married,primary,448,yes,no,june,6/1/2018,286,54.99,1,auto ,1,-1,0,2457,7,0,-1,1
115,115,10023581,41-60,59,retired,divorced,primary,81,yes,no,july,7/1/2018,107,31.18,0,no product,0,0,0,3678,7,0,0,1
116,116,10023582,41-60,44,blue-collar,married,secondary,144,yes,yes,august,8/1/2018,247,64.9,1,auto ,1,-1,0,9765,7,0,-1,1
117,117,10023583,41-60,41,admin.,married,secondary,351,yes,yes,september,9/1/2018,518,49.14,1,auto ,1,-1,0,7543,7,0,-1,1
118,118,10023584,31-40,33,management,single,tertiary,-67,yes,no,october,10/1/2018,364,59.545,1,auto ,1,-1,0,4080,7,0,-1,1
119,119,10023585,41-60,59,management,divorced,tertiary,262,no,yes,november,11/1/2018,178,59.545,1,mortgage,0,-1,0,2127,7,0,0,0
120,120,10023586,41-60,57,technician,married,primary,0,no,yes,december,12/1/2018,98,52.94,1,mortgage,1,-1,0,5699,7,0,-1,1
121,121,10023587,41-60,56,technician,divorced,unknown,56,yes,no,january,1/1/2018,439,11.02,1,mortgage,1,-1,0,3237,7,0,-1,1
122,122,10023588,41-60,51,blue-collar,married,secondary,26,yes,yes,february,2/1/2018,79,2.55,1,mortgage,0,-1,0,2558,7,0,0,0
123,123,10023589,31-40,34,admin.,married,unknown,3,yes,no,march,3/1/2018,120,3.2,1,mortgage,1,-1,0,2298,7,0,-1,1
124,124,10023590,41-60,43,services,married,secondary,41,yes,yes,april,4/1/2018,127,4.89,1,mortgage,1,-1,0,3397,7,0,-1,1
125,125,10023591,41-60,52,technician,married,tertiary,7,no,yes,may,5/1/2018,175,7.83,1,mortgage,1,-1,0,2106,7,0,-1,1
126,126,10023592,31-40,33,technician,single,secondary,105,yes,no,june,6/1/2018,262,84.6,1,mortgage,1,-1,0,6895,7,0,-1,1
127,127,10023593,18-30,29,admin.,single,secondary,818,yes,no,july,7/1/2018,61,49.14,1,business,0,-1,0,7632,7,0,0,0
128,128,10023594,31-40,34,services,married,secondary,-16,yes,no,august,8/1/2018,78,58.46,1,business,0,-1,0,9753,7,0,0,0
129,129,10023595,31-40,31,blue-collar,married,secondary,0,yes,no,september,9/1/2018,143,52.68,1,business,1,-1,0,2257,7,0,-1,1
130,130,10023596,41-60,55,services,married,secondary,2476,yes,yes,october,10/1/2018,579,388.683437366575,1,business,1,-1,0,12353,7,0,-1,1
131,131,10023597,41-60,55,management,married,unknown,1185,no,yes,november,11/1/2018,677,146.39,1,business,1,-1,0,2356,7,0,-1,1
132,132,10023598,31-40,32,admin.,single,secondary,217,yes,no,december,12/1/2018,345,174.56,1,unsecured ,1,-1,0,7654,7,0,-1,1
133,133,10023599,31-40,38,technician,single,secondary,1685,yes,no,january,1/1/2018,185,335.58,1,unsecured ,1,-1,0,7854,7,0,-1,1
134,134,10023600,41-60,55,admin.,single,secondary,802,yes,no,february,2/1/2018,100,49.14,1,unsecured ,1,-1,0,8954,7,0,-1,1
135,135,10023601,18-30,28,unemployed,single,tertiary,0,yes,no,march,3/1/2018,125,25.25,1,unsecured ,1,-1,0,3678,7,0,-1,1
136,136,10023602,18-30,23,blue-collar,married,secondary,94,yes,no,april,4/1/2018,193,52.68,1,unsecured ,1,-1,0,4853,7,0,-1,1
137,137,10023603,31-40,32,technician,single,secondary,0,yes,no,may,5/1/2018,136,52.94,1,unsecured ,1,-1,0,8675,7,0,-1,1
138,138,10023604,41-60,43,services,single,unknown,0,no,no,june,6/1/2018,73,58.46,1,unsecured ,1,-1,0,9764,7,0,-1,1
139,139,10023605,31-40,32,blue-collar,married,secondary,517,yes,no,july,7/1/2018,528,106.85,1,unsecured ,1,-1,0,2457,7,0,-1,1
140,140,10023606,41-60,46,blue-collar,married,secondary,265,yes,yes,august,8/1/2018,541,144.61,1,unsecured ,0,-1,0,3678,7,0,0,0
141,141,10023607,41-60,53,housemaid,divorced,primary,947,yes,no,september,9/1/2018,163,15.39,1,unsecured ,0,-1,0,9765,7,0,0,0
142,142,10023608,31-40,34,self-employed,single,secondary,3,yes,no,october,10/1/2018,301,3.24,1,unsecured ,0,-1,0,7543,7,0,0,0
143,143,10023609,41-60,57,unemployed,married,tertiary,42,no,yes,november,11/1/2018,46,11.38,1,unsecured ,0,-1,0,3521,7,0,0,0
144,144,10023610,31-40,37,blue-collar,married,secondary,37,yes,no,december,12/1/2018,204,13.26,1,auto ,0,-1,0,2790,7,0,0,0
145,145,10023611,41-60,59,blue-collar,married,secondary,57,yes,yes,january,1/1/2018,98,10.22,1,auto ,0,-1,0,2476,7,0,0,0
146,146,10023612,31-40,33,services,married,secondary,22,yes,no,february,2/1/2018,71,3.83,1,auto ,0,-1,0,4384,7,0,0,0
147,147,10023613,41-60,56,blue-collar,divorced,primary,8,yes,no,march,3/1/2018,157,13.98,1,auto ,0,-1,0,4080,7,0,0,0
148,148,10023614,41-60,48,unemployed,married,secondary,293,yes,yes,april,4/1/2018,243,8.56,1,mortgage,0,-1,0,2127,7,0,0,0
149,149,10023615,41-60,43,services,married,primary,3,yes,yes,may,5/1/2018,186,9.33,1,mortgage,0,-1,0,5699,7,0,0,0
150,150,10023616,41-60,54,blue-collar,married,primary,348,yes,yes,june,6/1/2018,579,52.68,1,mortgage,1,-1,0,3237,7,0,-1,1
151,151,10023617,41-60,51,blue-collar,married,unknown,-19,yes,yes,july,7/1/2018,163,52.68,1,mortgage,1,-1,0,2558,7,0,-1,1
152,152,10023618,18-30,26,student,single,secondary,0,yes,no,august,8/1/2018,610,39.79,1,mortgage,1,-1,0,6895,7,0,-1,1
153,153,10023619,31-40,40,management,married,tertiary,-4,yes,yes,september,9/1/2018,2033,59.545,1,mortgage,1,-1,0,7632,7,0,-1,1
154,154,10023620,31-40,39,management,married,secondary,18,yes,no,october,10/1/2018,85,14.44,1,auto ,1,-1,0,9753,7,0,-1,1
155,155,10023621,41-60,50,technician,married,primary,139,no,yes,november,11/1/2018,114,52.94,1,auto ,1,-1,0,2257,7,0,-1,1
156,156,10023622,41-60,41,services,married,secondary,0,yes,yes,december,12/1/2018,114,58.46,1,auto ,1,-1,0,12353,7,0,-1,1
157,157,10023623,41-60,51,blue-collar,married,unknown,1883,yes,yes,january,1/1/2018,57,184.1,1,auto ,0,-1,0,2356,7,0,0,0
158,158,10023624,41-60,60,retired,divorced,secondary,216,yes,no,february,2/1/2018,238,118.64,1,auto ,1,-1,0,7654,7,0,-1,1
159,159,10023625,41-60,52,blue-collar,married,secondary,782,yes,yes,march,3/1/2018,93,242.72,1,auto ,0,-1,0,7854,7,0,0,0
160,160,10023626,41-60,48,blue-collar,married,secondary,904,yes,yes,april,4/1/2018,128,358.39,1,auto ,1,-1,0,8954,7,0,-1,1
161,161,10023627,41-60,48,services,married,unknown,1705,yes,yes,may,5/1/2018,107,81.72,1,auto ,0,-1,0,3678,7,0,0,0
162,162,10023628,31-40,39,technician,single,tertiary,47,yes,no,june,6/1/2018,181,26.26,1,unsecured ,1,-1,0,4853,7,0,-1,1
163,163,10023629,41-60,47,services,single,secondary,176,yes,no,july,7/1/2018,303,134.04,1,unsecured ,0,-1,0,8675,7,0,0,0
164,164,10023630,31-40,40,blue-collar,married,secondary,1225,yes,no,august,8/1/2018,558,93.7,1,unsecured ,1,-1,0,9764,7,0,-1,1
165,165,10023631,41-60,45,technician,married,secondary,86,yes,yes,september,9/1/2018,270,24.24,1,unsecured ,0,-1,0,2457,7,0,0,0
166,166,10023632,18-30,26,admin.,single,secondary,82,yes,no,october,10/1/2018,228,43.03,1,unsecured ,1,-1,0,3678,7,0,-1,1
167,167,10023633,41-60,52,management,married,tertiary,271,yes,yes,november,11/1/2018,99,176.41,1,mortgage,0,-1,0,9765,7,0,0,0
168,168,10023634,41-60,54,technician,married,secondary,1378,yes,yes,december,12/1/2018,240,145.36,1,mortgage,1,-1,0,7543,7,0,-1,1
169,169,10023635,41-60,54,admin.,married,tertiary,184,no,yes,january,1/1/2018,673,49.14,1,mortgage,1,-1,0,2106,7,0,-1,1
170,170,10023636,41-60,50,blue-collar,married,primary,0,no,yes,february,2/1/2018,233,52.68,1,mortgage,1,-1,0,6895,7,0,-1,1
171,171,10023637,31-40,35,blue-collar,married,secondary,0,yes,no,march,3/1/2018,1056,52.68,1,mortgage,1,-1,0,7632,7,0,-1,1
172,172,10023638,41-60,44,services,married,secondary,1357,yes,yes,april,4/1/2018,250,46.35,1,mortgage,1,-1,0,9753,7,0,-1,1
173,173,10023639,41-60,53,entrepreneur,married,unknown,19,yes,yes,may,5/1/2018,252,26.21,1,unsecured ,1,-1,0,2257,7,0,-1,1
174,174,10023640,31-40,35,retired,single,primary,434,no,no,june,6/1/2018,138,57.68,1,unsecured ,1,-1,0,12353,7,0,-1,1
175,175,10023641,41-60,60,admin.,divorced,secondary,92,yes,no,july,7/1/2018,130,93.94,1,unsecured ,1,-1,0,2356,7,0,-1,1
176,176,10023642,41-60,53,admin.,divorced,secondary,1151,yes,no,august,8/1/2018,412,62.71,1,unsecured ,1,-1,0,7654,7,0,-1,1
177,177,10023643,41-60,48,unemployed,married,secondary,41,yes,yes,september,9/1/2018,179,13.2,1,unsecured ,1,-1,0,7854,7,0,-1,1
178,178,10023644,31-40,34,technician,married,secondary,51,yes,no,october,10/1/2018,19,30.16,1,unsecured ,1,-1,0,8954,7,0,-1,1
179,179,10023645,41-60,54,services,married,secondary,214,yes,yes,november,11/1/2018,458,143.89,1,unsecured ,1,-1,0,3678,7,0,-1,1
180,180,10023646,41-60,51,management,married,secondary,1161,yes,yes,december,12/1/2018,717,59.83,1,mortgage,1,-1,0,4853,7,0,-1,1
181,181,10023647,31-40,31,services,married,tertiary,37,yes,yes,january,1/1/2018,313,49.26,1,mortgage,1,-1,0,8675,7,0,-1,1
182,182,10023648,31-40,35,technician,divorced,secondary,787,yes,no,february,2/1/2018,683,62.2,1,mortgage,1,-1,0,9764,7,0,-1,1
183,183,10023649,31-40,35,services,married,secondary,59,yes,no,march,3/1/2018,1077,35.27,1,mortgage,1,1,1,2457,10,1,1,1
184,184,10023650,31-40,38,technician,married,secondary,253,yes,no,april,4/1/2018,416,66.7,1,mortgage,1,1,1,3678,10,1,1,1
185,185,10023651,31-40,36,admin.,married,tertiary,211,yes,yes,may,5/1/2018,146,64.28,1,mortgage,1,1,1,9765,10,1,1,1
186,186,10023652,41-60,58,retired,married,primary,235,yes,yes,june,6/1/2018,167,293.01,1,auto ,1,1,1,7543,10,1,1,1
187,187,10023653,31-40,40,services,divorced,unknown,4384,yes,no,july,7/1/2018,315,388.683437366575,1,unsecured ,1,1,1,4384,10,1,1,1
188,188,10023654,41-60,54,management,married,secondary,4080,no,yes,august,8/1/2018,140,134.24,1,auto ,1,1,1,4080,10,1,1,1
189,189,10023655,31-40,34,blue-collar,single,secondary,53,yes,no,september,9/1/2018,346,52.68,1,unsecured ,1,1,1,4384,10,1,1,1
190,190,10023656,31-40,31,management,single,tertiary,0,yes,no,october,10/1/2018,562,59.545,1,auto ,1,1,1,4080,10,1,1,1
191,191,10023657,41-60,51,retired,married,secondary,2127,yes,yes,november,11/1/2018,172,258.5,1,unsecured ,1,1,1,2127,10,1,1,1
192,192,10023658,31-40,33,management,married,tertiary,377,yes,yes,december,12/1/2018,217,47.89,1,unsecured ,1,1,1,5699,10,1,1,1
193,193,10023659,41-60,55,management,married,tertiary,73,yes,yes,january,1/1/2018,142,52.03,1,unsecured ,1,1,1,3237,10,1,1,1
194,194,10023660,41-60,42,admin.,married,secondary,445,yes,yes,february,2/1/2018,67,94.93,1,unsecured ,1,1,1,2558,10,1,1,1
