"","RefNum","agerange","age","job","marital","education","balance","housing","loan","month","date","duration","deposit","lead","product","qualified","contacted","won","loanvalue","NPS"
"15",10023481,"41-60",57,"services","married","secondary",162,"yes","yes","march",2018-03-01,174,55.6,0,"no product",0,0,0,2226,7
"16",10023482,"41-60",51,"retired","married","primary",229,"yes","yes","april",2018-04-01,353,15.75,0,"no product",0,0,0,2880,7
"17",10023483,"41-60",45,"admin.","single","unknown",13,"yes","no","may",2018-05-01,98,7.51,0,"no product",0,0,0,2434,7
"18",10023484,"41-60",57,"blue-collar","married","primary",52,"yes","yes","june",2018-06-01,38,16.12,0,"no product",0,0,0,4246,7
"19",10023485,"41-60",60,"retired","married","primary",60,"yes","yes","july",2018-07-01,219,57.32,0,"no product",0,0,0,3047,7
"20",10023486,"31-40",33,"services","married","secondary",0,"yes","no","august",2018-08-01,54,58.46,0,"no product",0,0,0,2303,7
"21",10023487,"18-30",28,"blue-collar","married","secondary",723,"yes","no","september",2018-09-01,262,216.64,0,"no product",0,0,0,3659,7
"22",10023488,"41-60",56,"management","married","tertiary",779,"yes","yes","october",2018-10-01,164,38.64,0,"no product",0,0,0,2100,7
"23",10023489,"31-40",32,"blue-collar","single","primary",23,"yes","no","november",2018-11-01,160,9.79,1,"mortgage",1,1,0,7624,7
"24",10023490,"18-30",25,"services","married","secondary",50,"yes","no","december",2018-12-01,342,58.46,1,"mortgage",1,1,0,8694,7
"25",10023491,"31-40",40,"retired","married","primary",0,"yes","no","january",2018-01-01,181,57.32,0,"no product",0,0,0,6530,7
"26",10023492,"41-60",44,"admin.","married","secondary",-372,"yes","yes","february",2018-02-01,172,49.14,0,"no product",0,0,0,6530,7
"27",10023493,"31-40",39,"management","single","tertiary",255,"yes","no","march",2018-03-01,296,49,0,"no product",0,0,0,6530,7
"28",10023494,"41-60",52,"entrepreneur","married","secondary",113,"yes","yes","april",2018-04-01,127,43.75,0,"no product",0,0,0,6530,7
"29",10023495,"41-60",46,"management","single","secondary",-246,"yes","no","may",2018-05-01,255,59.545,0,"no product",0,0,0,6530,7
"30",10023496,"31-40",36,"technician","single","secondary",265,"yes","no","june",2018-06-01,348,136.12,1,"mortgage",1,-1,0,4357,7
"31",10023497,"41-60",57,"technician","married","secondary",839,"no","yes","july",2018-07-01,225,162.57,1,"mortgage",1,-1,0,6895,7
"32",10023498,"41-60",49,"management","married","tertiary",378,"yes","yes","august",2018-08-01,230,35.05,1,"mortgage",1,-1,0,7632,7
"33",10023499,"41-60",60,"admin.","married","secondary",39,"yes","yes","september",2018-09-01,208,49.14,1,"mortgage",1,-1,0,9753,7
"34",10023500,"41-60",59,"blue-collar","married","secondary",0,"yes","yes","october",2018-10-01,226,52.68,1,"mortgage",1,-1,0,2257,7
"35",10023501,"41-60",51,"management","married","tertiary",10635,"yes","yes","november",2018-11-01,336,236.29,1,"mortgage",1,1,0,12353,7
"36",10023502,"41-60",57,"technician","divorced","secondary",63,"yes","no","december",2018-12-01,242,52.94,1,"mortgage",1,1,0,2356,7
"37",10023503,"18-30",25,"blue-collar","married","secondary",-7,"yes","no","january",2018-01-01,365,52.68,1,"mortgage",1,1,0,7654,7
"38",10023504,"41-60",53,"technician","married","secondary",-3,"no","yes","february",2018-02-01,1666,52.94,1,"mortgage",1,1,0,7854,7
"39",10023505,"31-40",36,"admin.","divorced","secondary",506,"yes","no","march",2018-03-01,577,49.14,1,"unsecured ",1,1,0,2458,7
"40",10023506,"31-40",37,"admin.","single","secondary",0,"yes","no","april",2018-04-01,137,49.14,1,"unsecured ",1,1,0,2893,7
"41",10023507,"41-60",44,"services","divorced","secondary",2586,"yes","no","may",2018-05-01,160,102.76,1,"unsecured ",1,1,0,2476,7
"42",10023508,"41-60",50,"management","married","secondary",49,"yes","yes","june",2018-06-01,180,20.61,1,"unsecured ",1,1,0,4384,7
"43",10023509,"41-60",60,"blue-collar","married","unknown",104,"yes","yes","july",2018-07-01,22,67.71,1,"unsecured ",1,1,0,4080,7
"44",10023510,"41-60",54,"retired","married","secondary",529,"yes","yes","august",2018-08-01,1492,65.05,1,"unsecured ",0,1,0,2127,7
"45",10023511,"41-60",58,"retired","married","unknown",96,"yes","yes","september",2018-09-01,616,57.32,1,"unsecured ",0,1,0,2586,7
"46",10023512,"31-40",36,"admin.","single","primary",-171,"yes","no","october",2018-10-01,242,49.14,1,"unsecured ",0,1,0,6530,7
"47",10023513,"41-60",58,"self-employed","married","tertiary",-364,"yes","yes","november",2018-11-01,355,23.035,1,"unsecured ",0,1,0,2476,7
"48",10023514,"41-60",44,"technician","married","secondary",0,"yes","yes","december",2018-12-01,225,52.94,1,"unsecured ",0,1,0,4384,7
"49",10023515,"41-60",55,"technician","divorced","secondary",0,"no","no","january",2018-01-01,160,52.94,1,"unsecured ",0,1,0,4080,7
"50",10023516,"18-30",29,"management","single","tertiary",0,"yes","no","february",2018-02-01,363,59.545,1,"unsecured ",0,1,0,2127,7
"51",10023517,"41-60",54,"blue-collar","married","secondary",1291,"yes","yes","march",2018-03-01,266,52.68,1,"unsecured ",0,1,0,5699,7
"52",10023518,"41-60",48,"management","divorced","tertiary",-244,"yes","yes","april",2018-04-01,253,59.545,1,"auto ",1,1,0,3237,7
"53",10023519,"31-40",32,"management","married","tertiary",0,"yes","yes","may",2018-05-01,179,59.545,1,"auto ",1,1,0,2558,7
"54",10023520,"41-60",42,"admin.","single","secondary",-76,"yes","no","june",2018-06-01,787,49.14,1,"auto ",1,1,0,2298,7
"55",10023521,"18-30",24,"technician","single","secondary",-103,"yes","no","july",2018-07-01,145,52.94,1,"auto ",1,1,0,3397,7
"56",10023522,"31-40",38,"entrepreneur","single","tertiary",243,"no","no","august",2018-08-01,174,92.66,1,"auto ",1,1,0,2106,7
"57",10023523,"31-40",38,"management","single","tertiary",424,"yes","no","september",2018-09-01,104,103.98,1,"auto ",1,1,0,2586,7
"58",10023524,"41-60",47,"blue-collar","married","unknown",306,"yes","yes","october",2018-10-01,13,24.74,1,"auto ",0,-1,0,6530,7
"59",10023525,"31-40",40,"blue-collar","single","unknown",24,"yes","no","november",2018-11-01,185,18.92,1,"auto ",1,-1,0,2476,7
"60",10023526,"41-60",46,"services","married","primary",179,"yes","yes","december",2018-12-01,1778,58.46,1,"auto ",1,-1,0,4384,7
"61",10023527,"31-40",32,"admin.","married","tertiary",0,"yes","yes","january",2018-01-01,138,49.14,1,"auto ",0,-1,0,4080,7
"62",10023528,"41-60",53,"technician","divorced","secondary",989,"yes","no","february",2018-02-01,812,143.25,1,"auto ",1,-1,0,2127,7
"63",10023529,"41-60",57,"blue-collar","married","primary",249,"yes","yes","march",2018-03-01,164,128.03,1,"auto ",1,-1,0,5699,7
"64",10023530,"31-40",33,"services","married","secondary",790,"yes","no","april",2018-04-01,391,100.69,1,"auto ",1,-1,0,3237,7
"65",10023531,"41-60",49,"blue-collar","married","unknown",154,"yes","yes","may",2018-05-01,357,289.49,1,"auto ",1,-1,0,2558,7
"66",10023532,"41-60",51,"management","married","tertiary",6530,"yes","yes","june",2018-06-01,91,233.27,1,"auto ",0,-1,0,2298,7
"67",10023533,"41-60",60,"retired","married","tertiary",100,"no","yes","july",2018-07-01,528,22.17,0,"no product",0,0,0,3397,7
"68",10023534,"41-60",59,"management","divorced","tertiary",59,"yes","yes","august",2018-08-01,273,76.97,1,"auto ",1,-1,0,2106,7
"69",10023535,"41-60",55,"technician","married","secondary",1205,"yes","yes","september",2018-09-01,158,388.683437366575,1,"auto ",1,-1,0,4080,7
"70",10023536,"31-40",35,"blue-collar","single","secondary",12223,"yes","no","october",2018-10-01,177,388.683437366575,0,"no product",0,0,0,2127,7
"71",10023537,"41-60",57,"blue-collar","married","secondary",5935,"yes","yes","november",2018-11-01,258,111.2,1,"mortgage",1,-1,0,5699,7
"72",10023538,"31-40",31,"services","married","secondary",25,"yes","no","december",2018-12-01,172,24.24,1,"mortgage",1,-1,0,3237,7
"73",10023539,"41-60",54,"management","married","secondary",282,"yes","yes","january",2018-01-01,154,23.25,1,"mortgage",1,-1,0,2558,7
"74",10023540,"41-60",55,"blue-collar","married","primary",23,"yes","yes","february",2018-02-01,291,60.93,1,"mortgage",1,-1,0,2298,7
"75",10023541,"41-60",43,"technician","married","secondary",1937,"yes","yes","march",2018-03-01,181,248.97,0,"no product",0,0,0,3397,7
"76",10023542,"41-60",53,"technician","married","secondary",384,"yes","yes","april",2018-04-01,176,136.47,0,"no product",0,0,0,2106,7
"77",10023543,"41-60",44,"blue-collar","married","secondary",582,"no","yes","may",2018-05-01,211,66.43,1,"mortgage",1,-1,0,8954,7
"78",10023544,"41-60",55,"services","divorced","secondary",91,"no","no","june",2018-06-01,349,58.46,1,"mortgage",1,-1,0,3678,7
"79",10023545,"41-60",49,"services","divorced","secondary",0,"yes","no","july",2018-07-01,272,58.46,1,"mortgage",0,-1,0,4853,7
"80",10023546,"41-60",55,"services","divorced","secondary",1,"yes","no","august",2018-08-01,208,4.14,1,"mortgage",0,-1,0,8675,7
"81",10023547,"41-60",45,"admin.","single","secondary",206,"yes","no","september",2018-09-01,193,53.06,1,"mortgage",0,-1,0,9764,7
"82",10023548,"41-60",47,"services","divorced","secondary",164,"no","no","october",2018-10-01,212,97.11,1,"mortgage",0,-1,0,2457,7
"83",10023549,"41-60",42,"technician","single","secondary",690,"yes","no","november",2018-11-01,20,367.05,1,"mortgage",0,-1,0,3678,7
"84",10023550,"41-60",59,"admin.","married","secondary",2343,"yes","yes","december",2018-12-01,1042,163.55,1,"mortgage",1,-1,0,9765,7
"85",10023551,"41-60",46,"self-employed","married","tertiary",137,"yes","yes","january",2018-01-01,246,44.44,1,"unsecured ",1,-1,0,4080,7
"86",10023552,"41-60",51,"blue-collar","married","primary",173,"yes","yes","february",2018-02-01,529,25.47,1,"unsecured ",1,-1,0,2127,7
"87",10023553,"41-60",56,"admin.","married","secondary",45,"no","yes","march",2018-03-01,1467,69.01,1,"unsecured ",1,1,0,5699,7
"88",10023554,"41-60",41,"technician","married","secondary",1270,"yes","yes","april",2018-04-01,1389,41.15,0,"no product",0,0,0,3237,7
"89",10023555,"41-60",46,"management","divorced","secondary",16,"yes","no","may",2018-05-01,188,25.46,0,"no product",0,0,0,2558,7
"90",10023556,"41-60",57,"retired","married","secondary",486,"yes","yes","june",2018-06-01,180,45,0,"no product",0,0,0,6530,7
"91",10023557,"41-60",42,"management","single","secondary",50,"no","no","july",2018-07-01,48,25.17,0,"no product",0,0,0,6530,7
"92",10023558,"18-30",30,"technician","married","secondary",152,"yes","no","august",2018-08-01,213,60.61,0,"no product",0,0,0,6530,7
"93",10023559,"41-60",60,"admin.","married","secondary",290,"yes","yes","september",2018-09-01,583,36.12,0,"no product",0,0,0,6530,7
"94",10023560,"41-60",60,"blue-collar","married","unknown",54,"yes","yes","october",2018-10-01,221,52.68,0,"no product",0,0,0,6530,7
"95",10023561,"41-60",57,"entrepreneur","divorced","secondary",-37,"no","no","november",2018-11-01,173,43.75,0,"no product",0,0,0,6530,7
"96",10023562,"31-40",36,"management","married","tertiary",101,"yes","yes","december",2018-12-01,426,56.78,0,"no product",0,0,0,6530,7
"97",10023563,"41-60",55,"blue-collar","married","secondary",383,"no","yes","january",2018-01-01,287,50.85,0,"no product",0,0,0,6530,7
"98",10023564,"41-60",60,"retired","married","tertiary",81,"yes","yes","february",2018-02-01,101,57.32,1,"mortgage",1,1,0,7543,7
"99",10023565,"31-40",39,"technician","married","secondary",0,"yes","no","march",2018-03-01,203,52.94,1,"mortgage",0,1,0,6689,7
"100",10023566,"41-60",46,"management","married","tertiary",229,"yes","yes","april",2018-04-01,197,59.545,1,"mortgage",1,1,0,4376,7
"101",10023567,"41-60",44,"blue-collar","married","secondary",-674,"yes","yes","may",2018-05-01,257,52.68,1,"mortgage",0,1,0,6895,7
"102",10023568,"41-60",53,"blue-collar","married","primary",90,"no","yes","june",2018-06-01,124,30.98,1,"mortgage",1,1,0,7632,7
"103",10023569,"41-60",52,"blue-collar","married","primary",128,"yes","yes","july",2018-07-01,229,43.7,1,"mortgage",1,1,0,9753,7
"104",10023570,"41-60",59,"blue-collar","married","primary",179,"yes","yes","august",2018-08-01,55,52.68,1,"mortgage",1,1,0,2257,7
"105",10023571,"18-30",27,"technician","single","tertiary",0,"yes","no","september",2018-09-01,400,52.94,0,"no product",0,0,0,12353,7
"106",10023572,"41-60",44,"blue-collar","married","secondary",54,"yes","yes","october",2018-10-01,197,26.07,1,"auto ",1,1,0,2356,7
"107",10023573,"41-60",47,"technician","married","tertiary",151,"yes","yes","november",2018-11-01,190,27.71,0,"no product",0,0,0,7654,7
"108",10023574,"31-40",34,"admin.","married","secondary",61,"no","no","december",2018-12-01,21,12.35,1,"auto ",1,1,0,7854,7
"109",10023575,"41-60",59,"retired","single","secondary",30,"yes","no","january",2018-01-01,514,36.16,0,"no product",0,0,0,8954,7
"110",10023576,"41-60",45,"management","married","tertiary",523,"yes","yes","february",2018-02-01,849,36.76,1,"auto ",1,-1,0,3678,7
"111",10023577,"18-30",29,"services","divorced","secondary",31,"yes","no","march",2018-03-01,194,14.29,0,"no product",0,0,0,4853,7
"112",10023578,"41-60",46,"technician","divorced","secondary",79,"no","no","april",2018-04-01,144,52.94,1,"auto ",1,-1,0,8675,7
"113",10023579,"41-60",56,"self-employed","married","primary",-34,"yes","yes","may",2018-05-01,212,23.035,0,"no product",0,0,0,9764,7
"114",10023580,"31-40",36,"blue-collar","married","primary",448,"yes","no","june",2018-06-01,286,54.99,1,"auto ",1,-1,0,2457,7
"115",10023581,"41-60",59,"retired","divorced","primary",81,"yes","no","july",2018-07-01,107,31.18,0,"no product",0,0,0,3678,7
"116",10023582,"41-60",44,"blue-collar","married","secondary",144,"yes","yes","august",2018-08-01,247,64.9,1,"auto ",1,-1,0,9765,7
"117",10023583,"41-60",41,"admin.","married","secondary",351,"yes","yes","september",2018-09-01,518,49.14,1,"auto ",1,-1,0,7543,7
"118",10023584,"31-40",33,"management","single","tertiary",-67,"yes","no","october",2018-10-01,364,59.545,1,"auto ",1,-1,0,4080,7
"119",10023585,"41-60",59,"management","divorced","tertiary",262,"no","yes","november",2018-11-01,178,59.545,1,"mortgage",0,-1,0,2127,7
"120",10023586,"41-60",57,"technician","married","primary",0,"no","yes","december",2018-12-01,98,52.94,1,"mortgage",1,-1,0,5699,7
"121",10023587,"41-60",56,"technician","divorced","unknown",56,"yes","no","january",2018-01-01,439,11.02,1,"mortgage",1,-1,0,3237,7
"122",10023588,"41-60",51,"blue-collar","married","secondary",26,"yes","yes","february",2018-02-01,79,2.55,1,"mortgage",0,-1,0,2558,7
"123",10023589,"31-40",34,"admin.","married","unknown",3,"yes","no","march",2018-03-01,120,3.2,1,"mortgage",1,-1,0,2298,7
"124",10023590,"41-60",43,"services","married","secondary",41,"yes","yes","april",2018-04-01,127,4.89,1,"mortgage",1,-1,0,3397,7
"125",10023591,"41-60",52,"technician","married","tertiary",7,"no","yes","may",2018-05-01,175,7.83,1,"mortgage",1,-1,0,2106,7
"126",10023592,"31-40",33,"technician","single","secondary",105,"yes","no","june",2018-06-01,262,84.6,1,"mortgage",1,-1,0,6895,7
"127",10023593,"18-30",29,"admin.","single","secondary",818,"yes","no","july",2018-07-01,61,49.14,1,"business",0,-1,0,7632,7
"128",10023594,"31-40",34,"services","married","secondary",-16,"yes","no","august",2018-08-01,78,58.46,1,"business",0,-1,0,9753,7
"129",10023595,"31-40",31,"blue-collar","married","secondary",0,"yes","no","september",2018-09-01,143,52.68,1,"business",1,-1,0,2257,7
"130",10023596,"41-60",55,"services","married","secondary",2476,"yes","yes","october",2018-10-01,579,388.683437366575,1,"business",1,-1,0,12353,7
"131",10023597,"41-60",55,"management","married","unknown",1185,"no","yes","november",2018-11-01,677,146.39,1,"business",1,-1,0,2356,7
"132",10023598,"31-40",32,"admin.","single","secondary",217,"yes","no","december",2018-12-01,345,174.56,1,"unsecured ",1,-1,0,7654,7
"133",10023599,"31-40",38,"technician","single","secondary",1685,"yes","no","january",2018-01-01,185,335.58,1,"unsecured ",1,-1,0,7854,7
"134",10023600,"41-60",55,"admin.","single","secondary",802,"yes","no","february",2018-02-01,100,49.14,1,"unsecured ",1,-1,0,8954,7
"135",10023601,"18-30",28,"unemployed","single","tertiary",0,"yes","no","march",2018-03-01,125,25.25,1,"unsecured ",1,-1,0,3678,7
"136",10023602,"18-30",23,"blue-collar","married","secondary",94,"yes","no","april",2018-04-01,193,52.68,1,"unsecured ",1,-1,0,4853,7
"137",10023603,"31-40",32,"technician","single","secondary",0,"yes","no","may",2018-05-01,136,52.94,1,"unsecured ",1,-1,0,8675,7
"138",10023604,"41-60",43,"services","single","unknown",0,"no","no","june",2018-06-01,73,58.46,1,"unsecured ",1,-1,0,9764,7
"139",10023605,"31-40",32,"blue-collar","married","secondary",517,"yes","no","july",2018-07-01,528,106.85,1,"unsecured ",1,-1,0,2457,7
"140",10023606,"41-60",46,"blue-collar","married","secondary",265,"yes","yes","august",2018-08-01,541,144.61,1,"unsecured ",0,-1,0,3678,7
"141",10023607,"41-60",53,"housemaid","divorced","primary",947,"yes","no","september",2018-09-01,163,15.39,1,"unsecured ",0,-1,0,9765,7
"142",10023608,"31-40",34,"self-employed","single","secondary",3,"yes","no","october",2018-10-01,301,3.24,1,"unsecured ",0,-1,0,7543,7
"143",10023609,"41-60",57,"unemployed","married","tertiary",42,"no","yes","november",2018-11-01,46,11.38,1,"unsecured ",0,-1,0,3521,7
"144",10023610,"31-40",37,"blue-collar","married","secondary",37,"yes","no","december",2018-12-01,204,13.26,1,"auto ",0,-1,0,2790,7
"145",10023611,"41-60",59,"blue-collar","married","secondary",57,"yes","yes","january",2018-01-01,98,10.22,1,"auto ",0,-1,0,2476,7
"146",10023612,"31-40",33,"services","married","secondary",22,"yes","no","february",2018-02-01,71,3.83,1,"auto ",0,-1,0,4384,7
"147",10023613,"41-60",56,"blue-collar","divorced","primary",8,"yes","no","march",2018-03-01,157,13.98,1,"auto ",0,-1,0,4080,7
"148",10023614,"41-60",48,"unemployed","married","secondary",293,"yes","yes","april",2018-04-01,243,8.56,1,"mortgage",0,-1,0,2127,7
"149",10023615,"41-60",43,"services","married","primary",3,"yes","yes","may",2018-05-01,186,9.33,1,"mortgage",0,-1,0,5699,7
"150",10023616,"41-60",54,"blue-collar","married","primary",348,"yes","yes","june",2018-06-01,579,52.68,1,"mortgage",1,-1,0,3237,7
"151",10023617,"41-60",51,"blue-collar","married","unknown",-19,"yes","yes","july",2018-07-01,163,52.68,1,"mortgage",1,-1,0,2558,7
"152",10023618,"18-30",26,"student","single","secondary",0,"yes","no","august",2018-08-01,610,39.79,1,"mortgage",1,-1,0,6895,7
"153",10023619,"31-40",40,"management","married","tertiary",-4,"yes","yes","september",2018-09-01,2033,59.545,1,"mortgage",1,-1,0,7632,7
"154",10023620,"31-40",39,"management","married","secondary",18,"yes","no","october",2018-10-01,85,14.44,1,"auto ",1,-1,0,9753,7
"155",10023621,"41-60",50,"technician","married","primary",139,"no","yes","november",2018-11-01,114,52.94,1,"auto ",1,-1,0,2257,7
"156",10023622,"41-60",41,"services","married","secondary",0,"yes","yes","december",2018-12-01,114,58.46,1,"auto ",1,-1,0,12353,7
"157",10023623,"41-60",51,"blue-collar","married","unknown",1883,"yes","yes","january",2018-01-01,57,184.1,1,"auto ",0,-1,0,2356,7
"158",10023624,"41-60",60,"retired","divorced","secondary",216,"yes","no","february",2018-02-01,238,118.64,1,"auto ",1,-1,0,7654,7
"159",10023625,"41-60",52,"blue-collar","married","secondary",782,"yes","yes","march",2018-03-01,93,242.72,1,"auto ",0,-1,0,7854,7
"160",10023626,"41-60",48,"blue-collar","married","secondary",904,"yes","yes","april",2018-04-01,128,358.39,1,"auto ",1,-1,0,8954,7
"161",10023627,"41-60",48,"services","married","unknown",1705,"yes","yes","may",2018-05-01,107,81.72,1,"auto ",0,-1,0,3678,7
"162",10023628,"31-40",39,"technician","single","tertiary",47,"yes","no","june",2018-06-01,181,26.26,1,"unsecured ",1,-1,0,4853,7
"163",10023629,"41-60",47,"services","single","secondary",176,"yes","no","july",2018-07-01,303,134.04,1,"unsecured ",0,-1,0,8675,7
"164",10023630,"31-40",40,"blue-collar","married","secondary",1225,"yes","no","august",2018-08-01,558,93.7,1,"unsecured ",1,-1,0,9764,7
"165",10023631,"41-60",45,"technician","married","secondary",86,"yes","yes","september",2018-09-01,270,24.24,1,"unsecured ",0,-1,0,2457,7
"166",10023632,"18-30",26,"admin.","single","secondary",82,"yes","no","october",2018-10-01,228,43.03,1,"unsecured ",1,-1,0,3678,7
"167",10023633,"41-60",52,"management","married","tertiary",271,"yes","yes","november",2018-11-01,99,176.41,1,"mortgage",0,-1,0,9765,7
"168",10023634,"41-60",54,"technician","married","secondary",1378,"yes","yes","december",2018-12-01,240,145.36,1,"mortgage",1,-1,0,7543,7
"169",10023635,"41-60",54,"admin.","married","tertiary",184,"no","yes","january",2018-01-01,673,49.14,1,"mortgage",1,-1,0,2106,7
"170",10023636,"41-60",50,"blue-collar","married","primary",0,"no","yes","february",2018-02-01,233,52.68,1,"mortgage",1,-1,0,6895,7
"171",10023637,"31-40",35,"blue-collar","married","secondary",0,"yes","no","march",2018-03-01,1056,52.68,1,"mortgage",1,-1,0,7632,7
"172",10023638,"41-60",44,"services","married","secondary",1357,"yes","yes","april",2018-04-01,250,46.35,1,"mortgage",1,-1,0,9753,7
"173",10023639,"41-60",53,"entrepreneur","married","unknown",19,"yes","yes","may",2018-05-01,252,26.21,1,"unsecured ",1,-1,0,2257,7
"174",10023640,"31-40",35,"retired","single","primary",434,"no","no","june",2018-06-01,138,57.68,1,"unsecured ",1,-1,0,12353,7
"175",10023641,"41-60",60,"admin.","divorced","secondary",92,"yes","no","july",2018-07-01,130,93.94,1,"unsecured ",1,-1,0,2356,7
"176",10023642,"41-60",53,"admin.","divorced","secondary",1151,"yes","no","august",2018-08-01,412,62.71,1,"unsecured ",1,-1,0,7654,7
"177",10023643,"41-60",48,"unemployed","married","secondary",41,"yes","yes","september",2018-09-01,179,13.2,1,"unsecured ",1,-1,0,7854,7
"178",10023644,"31-40",34,"technician","married","secondary",51,"yes","no","october",2018-10-01,19,30.16,1,"unsecured ",1,-1,0,8954,7
"179",10023645,"41-60",54,"services","married","secondary",214,"yes","yes","november",2018-11-01,458,143.89,1,"unsecured ",1,-1,0,3678,7
"180",10023646,"41-60",51,"management","married","secondary",1161,"yes","yes","december",2018-12-01,717,59.83,1,"mortgage",1,-1,0,4853,7
"181",10023647,"31-40",31,"services","married","tertiary",37,"yes","yes","january",2018-01-01,313,49.26,1,"mortgage",1,-1,0,8675,7
"182",10023648,"31-40",35,"technician","divorced","secondary",787,"yes","no","february",2018-02-01,683,62.2,1,"mortgage",1,-1,0,9764,7
"183",10023649,"31-40",35,"services","married","secondary",59,"yes","no","march",2018-03-01,1077,35.27,1,"mortgage",1,1,1,2457,10
"184",10023650,"31-40",38,"technician","married","secondary",253,"yes","no","april",2018-04-01,416,66.7,1,"mortgage",1,1,1,3678,10
"185",10023651,"31-40",36,"admin.","married","tertiary",211,"yes","yes","may",2018-05-01,146,64.28,1,"mortgage",1,1,1,9765,10
"186",10023652,"41-60",58,"retired","married","primary",235,"yes","yes","june",2018-06-01,167,293.01,1,"auto ",1,1,1,7543,10
"187",10023653,"31-40",40,"services","divorced","unknown",4384,"yes","no","july",2018-07-01,315,388.683437366575,1,"unsecured ",1,1,1,4384,10
"188",10023654,"41-60",54,"management","married","secondary",4080,"no","yes","august",2018-08-01,140,134.24,1,"auto ",1,1,1,4080,10
"189",10023655,"31-40",34,"blue-collar","single","secondary",53,"yes","no","september",2018-09-01,346,52.68,1,"unsecured ",1,1,1,4384,10
"190",10023656,"31-40",31,"management","single","tertiary",0,"yes","no","october",2018-10-01,562,59.545,1,"auto ",1,1,1,4080,10
"191",10023657,"41-60",51,"retired","married","secondary",2127,"yes","yes","november",2018-11-01,172,258.5,1,"unsecured ",1,1,1,2127,10
"192",10023658,"31-40",33,"management","married","tertiary",377,"yes","yes","december",2018-12-01,217,47.89,1,"unsecured ",1,1,1,5699,10
"193",10023659,"41-60",55,"management","married","tertiary",73,"yes","yes","january",2018-01-01,142,52.03,1,"unsecured ",1,1,1,3237,10
"194",10023660,"41-60",42,"admin.","married","secondary",445,"yes","yes","february",2018-02-01,67,94.93,1,"unsecured ",1,1,1,2558,10
"195",10023661,"31-40",34,"blue-collar","married","secondary",243,"yes","no","march",2018-03-01,291,78.85,1,"unsecured ",1,1,1,2298,10
"196",10023662,"31-40",33,"blue-collar","single","secondary",307,"yes","no","april",2018-04-01,309,62.97,1,"unsecured ",1,1,1,3397,10
"197",10023663,"31-40",38,"services","married","secondary",155,"yes","no","may",2018-05-01,248,47.27,1,"unsecured ",1,1,1,2106,10
"198",10023664,"41-60",50,"technician","divorced","tertiary",173,"no","yes","june",2018-06-01,98,75.94,1,"unsecured ",1,1,1,1526,10
"199",10023665,"41-60",43,"management","married","tertiary",400,"yes","yes","july",2018-07-01,256,218.17,1,"unsecured ",1,1,1,2586,10
"200",10023666,"over 60",61,"blue-collar","divorced","primary",1428,"yes","no","august",2018-08-01,82,161.43,1,"unsecured ",1,1,1,6530,10
"201",10023667,"41-60",47,"admin.","married","secondary",219,"yes","yes","september",2018-09-01,577,11.3,1,"unsecured ",1,1,1,2476,10
"202",10023668,"41-60",48,"self-employed","married","tertiary",7,"yes","yes","october",2018-10-01,286,18.31,1,"unsecured ",1,1,1,4384,10
"203",10023669,"41-60",44,"blue-collar","married","secondary",575,"yes","yes","november",2018-11-01,477,119.5,1,"auto ",1,1,1,4080,10
"204",10023670,"31-40",35,"student","single","unknown",298,"yes","no","december",2018-12-01,611,39.79,1,"business",1,1,1,2127,10
